iter	Passed	Remaining
0	1	1585
1	2	1287
2	3	1113
3	4	1067
4	5	1006
5	5	972
6	6	946
7	7	955
8	8	935
9	9	923
10	10	906
11	10	878
12	11	866
13	12	863
14	13	863
15	14	870
16	15	871
17	15	859
18	16	857
19	17	870
20	18	870
21	19	867
22	20	859
23	20	848
24	21	836
25	21	821
26	22	807
27	22	793
28	23	778
29	23	767
30	24	756
31	24	745
32	25	737
33	25	731
34	26	722
35	26	715
36	27	706
37	27	706
38	28	697
39	29	696
40	29	691
41	30	685
42	30	681
43	31	674
44	31	669
45	32	666
46	32	661
47	33	655
48	33	654
49	34	654
50	35	654
51	35	649
52	36	644
53	36	639
54	37	635
55	37	631
56	37	627
57	38	623
58	38	620
59	39	617
60	39	614
61	40	615
62	41	614
63	41	614
64	42	612
65	43	611
66	43	612
67	44	609
68	45	607
69	45	605
70	46	603
71	46	599
72	47	598
73	47	594
74	48	592
75	48	589
76	49	587
77	49	584
78	49	582
79	50	582
80	51	580
81	51	580
82	52	578
83	52	575
84	53	572
85	53	569
86	54	567
87	54	566
88	55	563
89	55	561
90	56	560
91	56	558
92	56	555
93	57	553
94	57	551
95	58	550
96	59	549
97	59	550
98	60	550
99	61	549
100	61	547
101	62	546
102	62	544
103	63	543
104	63	542
105	64	540
106	64	539
107	65	537
108	65	536
109	66	535
110	66	533
111	67	532
112	67	530
113	68	530
114	68	528
115	69	527
116	69	526
117	70	524
118	70	523
119	71	522
120	71	521
121	72	520
122	72	519
123	73	516
124	73	515
125	74	514
126	74	513
127	75	512
128	75	511
129	76	511
130	77	512
131	77	511
132	78	510
133	78	509
134	79	508
135	79	507
136	80	506
137	80	505
138	81	504
139	81	503
140	82	502
141	82	501
142	83	500
143	83	498
144	84	497
145	84	496
146	85	495
147	86	496
148	86	495
149	87	494
150	87	493
151	88	491
152	88	490
153	89	489
154	89	488
155	90	487
156	90	487
157	91	486
158	91	485
159	92	485
160	93	485
161	93	484
162	94	484
163	95	484
164	95	483
165	96	483
166	96	482
167	97	481
168	97	480
169	98	480
170	98	479
171	99	478
172	99	477
173	100	476
174	100	475
175	101	475
176	101	473
177	102	472
178	102	471
179	103	470
180	103	469
181	104	467
182	104	466
183	105	466
184	105	465
185	106	464
186	106	463
187	107	463
188	107	462
189	108	462
190	108	461
191	109	460
192	109	459
193	110	459
194	111	458
195	111	458
196	112	458
197	113	457
198	113	457
199	113	455
200	114	455
201	115	454
202	115	453
203	116	453
204	116	452
205	117	451
206	117	451
207	118	450
208	118	450
209	119	449
210	120	449
211	120	448
212	121	447
213	121	446
214	122	445
215	122	444
216	123	444
217	123	443
218	124	442
219	124	441
220	125	440
221	125	440
222	126	439
223	126	438
224	127	437
225	127	437
226	128	436
227	128	435
228	129	434
229	129	433
230	130	433
231	130	432
232	131	431
233	131	430
234	132	430
235	132	429
236	133	428
237	133	428
238	134	427
239	134	426
240	135	426
241	135	425
242	136	425
243	137	424
244	137	424
245	138	423
246	138	423
247	139	422
248	139	422
249	140	421
250	140	420
251	141	419
252	142	419
253	142	418
254	143	418
255	143	417
256	144	416
257	144	416
258	145	415
259	145	415
260	146	414
261	147	414
262	147	413
263	148	412
264	148	412
265	149	411
266	149	410
267	150	410
268	150	409
269	151	408
270	151	408
271	152	407
272	152	407
273	153	406
274	153	405
275	154	405
276	155	404
277	155	404
278	156	403
279	156	403
280	157	402
281	157	401
282	158	401
283	158	400
284	159	399
285	159	399
286	160	398
287	161	398
288	161	397
289	162	396
290	162	396
291	163	395
292	163	394
293	164	394
294	164	393
295	165	392
296	165	392
297	166	391
